Year,Team Name,Coach
2022, Colorado Avalanche,Jared Bednar
2021, Tampa Bay Lightning,Jon Cooper
2020, Tampa Bay Lightning,Jon Cooper
2019, St. Louis Blues,Craig Berube
2018, Washington Capitals,Barry Trotz
2017, Pittsburgh Penguins,Mike Sullivan
2016, Pittsburgh Penguins,Mike Sullivan
2015, Chicago Blackhawks,Joel Quenneville
2014, Los Angeles Kings,Darryl Sutter
2013, Chicago Blackhawks,Joel Quenneville
2012, Los Angeles Kings,Darryl Sutter
2011, Boston Bruins,Claude Julien
2010, Chicago Blackhawks,Joel Quenneville
2009, Pittsburgh Penguins,Dan Bylsma
2008, Detroit Red Wings,Mike Babcock
2007, Anaheim Ducks,Randy Carlyle 
2006, Carolina Hurricanes,Peter Laviolette
2004, Tampa Bay Lightning,John Tortorella
2003, New Jersey Devils,Pat Burns
2002, Detroit Red Wings,Scotty Bowman
2001, Colorado Avalanche,Bob Hartley
2000, New Jersey Devils,Larry Robinson
1999, Dallas Stars,Ken Hitchcock
1998, Detroit Red Wings,Scotty Bowman
1997, Detroit Red Wings,Scotty Bowman
1996, Colorado Avalanche,Marc Crawford
1995, New Jersey Devils,Jacques Lemaire
1994, New York Rangers,Mike Keenan
1993, Montreal Canadiens,Jacques Demers
1992, Pittsburgh Penguins,Scotty Bowman
1991, Pittsburgh Penguins,Bob Johnson
1990, Edmonton Oilers,John Muckler
1989, Calgary Flames,Terry Crisp
1988, Edmonton Oilers,Glen Sather
1987, Edmonton Oilers,Glen Sather
1986, Montreal Canadiens,Jean Perron
1985, Edmonton Oilers,Glen Sather
1984, Edmonton Oilers,Glen Sather
1983, New York Islanders,Al Arbour
1982, New York Islanders,Al Arbour
1981, New York Islanders,Al Arbour
1980, New York Islanders,Al Arbour
1979, Montreal Canadiens,Scotty Bowman
1978, Montreal Canadiens,Scotty Bowman
1977, Montreal Canadiens,Scotty Bowman
1976, Montreal Canadiens,Scotty Bowman
1975, Philadelphia Flyers,Fred Shero
1974, Philadelphia Flyers,Fred Shero
1973, Montreal Canadiens,Scotty Bowman
1972, Boston Bruins,Tom Johnson
1971, Montreal Canadiens,Al MacNeil
1970, Boston Bruins,Harry Sinden
1969, Montreal Canadiens,Claude Ruel
1968, Montreal Canadiens,Toe Blake
1967, Toronto Maple Leafs,Punch Imlach
1966, Montreal Canadiens,Toe Blake
1965, Montreal Canadiens,Toe Blake
1964, Toronto Maple Leafs,Punch Imlach
1963, Toronto Maple Leafs,Punch Imlach
1962, Toronto Maple Leafs,Punch Imlach
1961, Chicago Black Hawks,Rudy Pilous
1960, Montreal Canadiens,Toe Blake
1959, Montreal Canadiens,Toe Blake
1958, Montreal Canadiens,Toe Blake
1957, Montreal Canadiens,Toe Blake
1956, Montreal Canadiens,Toe Blake
1955, Detroit Red Wings,Jimmy Skinner
1954, Detroit Red Wings,Tommy Ivan
1953, Montreal Canadiens,Dick Irvin
1952, Detroit Red Wings,Tommy Ivan
1951, Toronto Maple Leafs,Joe Primeau
1950, Detroit Red Wings,Tommy Ivan
1949, Toronto Maple Leafs,Hap Day
1948, Toronto Maple Leafs,Hap Day
1947, Toronto Maple Leafs,Hap Day
1946, Montreal Canadiens,Dick Irvin
1945, Toronto Maple Leafs,Hap Day
1944, Montreal Canadiens,Dick Irvin
1943, Detroit Red Wings,Jack Adams
1942, Toronto Maple Leafs,Hap Day
1941, Boston Bruins,Cooney Weiland
1940, New York Rangers,Frank Boucher
1939, Boston Bruins,Art Ross
1938, Chicago Black Hawks,Bill Stewart
1937, Detroit Red Wings,Jack Adams
1936, Detroit Red Wings,Jack Adams
1935, Montreal Maroons,Tommy Gorman
1934, Chicago Black Hawks,Tommy Gorman
1933, New York Rangers,Lester Patrick
1932, Toronto Maple Leafs,Dick Irvin
1931, Montreal Canadiens,Cecil Hart
1930, Montreal Canadiens,Cecil Hart
1929, Boston Bruins,Cy Denneny
1928, New York Rangers,Lester Patrick
1927, Ottawa Senators,Dave Gill
1926, Montreal Maroons,Eddie Gerard
1925, Victoria Cougars,Lester Patrick
1924, Montreal Canadiens,Leo Dandurand
1923, Ottawa Senators,Pete Green
1922, Toronto St. Pats,George O'Donoghue
1921, Ottawa Senators,Pete Green
1920, Ottawa Senators,Pete Green
,,
